days,simulated_rabbit,simulated_fox
1,1000.0,2000.0
2,952.8034648074386,1997.7226960276223
3,907.9713481475428,1991.0111963666952
4,865.504127277366,1980.136742769538
5,825.378030130392,1965.3915701576034
6,787.5491038850292,1947.08160285188
7,751.9570740449359,1925.5198959527258
8,718.5289039905972,1901.0209064594837
9,687.1819987222927,1873.895625304734
10,657.8270248735013,1844.4475590147051
11,630.3703416262694,1812.9695180955557
12,604.7160540836837,1779.741147568154
13,580.7677125036847,1745.0271219387462
14,558.429688330398,1709.0759207050112
15,537.6082620016376,1672.1190996602552
16,518.212458869738,1634.3709763050615
17,500.15466897391593,1596.028653339014
18,483.3510844644724,1557.2723114483579
19,467.7219857038457,1518.2657106199545
20,453.19190384593537,1479.1568473974412
21,439.68968431170873,1440.078723430607
22,427.148472239433,1401.150188077804
23,415.50563782692194,1362.476824542185
24,404.7026565825873,1324.1518549791797
25,394.6849569038751,1286.2570451895872
26,385.401745119436,1248.8635939359997
27,376.8058161593195,1212.032995642014
28,368.85335633748883,1175.8178683206313
29,361.50374331766494,1140.2627411032713
30,354.71934715824716,1105.4047977777304
31,348.4653353652236,1071.2745743625967
32,342.7094840949641,1037.8966100123741
33,337.4219970148213,1005.2900515204261
34,332.57533282434457,973.4692124175931
35,328.144042042128,942.4440881976494
36,324.1046133541608,912.2208295749872
37,320.435329582908,882.8021759272692
38,317.1161331585458,854.1878512232656
39,314.12850084331154,826.3749248059914
40,311.45532736724067,799.3581394117775
41,309.08081757068675,773.1302087719869
42,306.9903866095218,747.6820870775324
43,305.1705677574428,723.0032124967997
44,303.60892733212745,699.0817268324995
45,302.2939862746298,675.9046732882459
46,301.21514792164334,653.4581741958742
47,300.3626315259061,631.727590433105
48,299.72741109940677,610.6976641407189
49,299.301159175774,590.3526462308888
50,299.0761951113577,570.6764100649823
51,299.04543756818697,551.652552571016
52,299.2023608456735,533.2644839685225
53,299.5409547511792,515.4955071722517
54,300.0556877220783,498.32888785597225
55,300.7414729335057,481.74791607367354
56,301.5936371464592,465.7359602575286
57,302.6078920702258,450.27651433992713
58,303.78030803121254,435.35323868037426
59,305.10728975715386,420.94999541689305
60,306.5855541013684,407.0508788053641
61,308.21210954629777,393.64024105873375
62,309.98423733899614,380.7027141508601
63,311.8994741236371,368.22322800666865
64,313.9555959475045,356.18702546091424
65,316.1506035274091,344.57967433195296
66,318.4827086730743,333.38707692418495
67,320.95032177284025,322.5954772430359
68,323.55204025508266,312.1914661792105
69,326.286637946117,302.16198489427995
70,329.15305525208163,292.49432661723455
71,332.1503900984504,283.1761370412541
72,335.27788956643093,274.1954134914335
73,338.53494217063354,265.5405030173985
74,341.9210707270714,257.2000995494972
75,345.435925764812,249.16324024340915
76,349.0792794384943,241.41930112547305
77,352.85101990247347,233.95799213965634
78,356.7511461105877,226.76935168677593
